variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.387,27, 0.292, 0.011, 0.021, 281.740 + -0.025 t, 0.000
PREC,mm d$^{-1}$,2.344,27, 0.054, 0.002, 0.004, 2.342 +  0.000 t, 0.900
ELAI,m${-2}$ m${-2}$,1.018,27, 0.050, 0.002, 0.004, 1.057 + -0.003 t, 0.022
FSDS,W m$^{-2}$,198.081,27, 0.547, 0.020, 0.040, 197.689 +  0.028 t, 0.040
FLDS,W m$^{-2}$,300.184,27, 1.903, 0.070, 0.138, 302.551 + -0.169 t, 0.000
ASA,% reflected,28.945,27, 0.139, 0.005, 0.010, 28.846 +  0.007 t, 0.041
RNET,W m$^{-2}$,72.302,27, 0.511, 0.019, 0.037, 72.760 + -0.033 t, 0.008
FSH,W m$^{-2}$,33.283,27, 0.428, 0.016, 0.031, 32.996 +  0.020 t, 0.056
ET,W m$^{-2}$,38.130,27, 0.645, 0.024, 0.047, 38.716 + -0.042 t, 0.007
FCTR,W m$^{-2}$,17.951,27, 0.585, 0.022, 0.042, 18.572 + -0.044 t, 0.001
FGEV,W m$^{-2}$,12.071,27, 0.349, 0.013, 0.025, 11.827 +  0.017 t, 0.044
FCEV,W m$^{-2}$,8.108,27, 0.186, 0.007, 0.013, 8.317 + -0.015 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.965,27, 0.0374, 0.00139, 0.00272, 0.939 +  0.00189 t, 0.0426
SNOWDP,m,2.288,27, 0.014, 0.001, 0.001, 2.312 + -0.002 t, 0.000
GPP,PgC y$^{-1}$,84.765,27, 2.446, 0.091, 0.178, 86.437 + -0.119 t, 0.050
NPP,PgC y$^{-1}$,34.141,27, 0.636, 0.024, 0.046, 34.005 +  0.010 t, 0.554
NEE,PgC y$^{-1}$,4.056,27, 1.522, 0.056, 0.110, 6.522 + -0.176 t, 0.000
NBP,PgC y$^{-1}$,-4.592,27, 1.535, 0.057, 0.111,-7.083 +  0.178 t, 0.000
BTRANMN,unitless,0.57,27, 0.00392, 0.000145, 0.000284, 0.565 +  0.000405 t, 4.28e-07
TOTVEGC,PgC,451.169,27, 25.282, 0.936, 1.835, 495.757 + -3.185 t, 0.000
TOTECOSYSC,gC/m^2,19509.636,27, 240.735, 8.916, 17.476, 19939.338 + -30.693 t, 0.000
TOTSOMC_1m,PgC,1586.668,27, 6.091, 0.226, 0.442, 1597.608 + -0.781 t, 0.000
ALTMAX,m,32.057,27, 0.165, 0.006, 0.012, 31.770 +  0.021 t, 0.000
FAREA_BURNED,s-1,2.81e-09,27, 2.73e-10, 1.01e-11, 1.98e-11, 3.09e-09 + -1.99e-11 t, 0.00204
DSTFLXT,Pg y$^{-1}$,8.100,27, 0.384, 0.014, 0.028, 8.171 + -0.005 t, 0.608
MEG_isoprene,Tg y$^{-1}$,434.834,27, 56.010, 2.074, 4.066, 495.033 + -4.300 t, 0.001
