variable,unit,test,control,diff
TSA,K,281.387,280.981,0.406
PREC,mm d$^{-1}$,2.344,2.378,-0.034
ELAI,m${-2}$ m${-2}$,1.018,1.017,0.001
FSDS,W m$^{-2}$,198.081,198.251,-0.17
FLDS,W m$^{-2}$,300.184,298.032,2.152
ASA,% reflected,28.945,29.057,-0.112
RNET,W m$^{-2}$,72.302,72.084,0.218
FSH,W m$^{-2}$,33.283,33.098,0.185
ET,W m$^{-2}$,38.13,38.152,-0.022
FCTR,W m$^{-2}$,17.951,17.843,0.108
FGEV,W m$^{-2}$,12.071,12.28,-0.209
FCEV,W m$^{-2}$,8.108,8.029,0.079
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.965,1.002,-0.037
SNOWDP,m,2.288,2.278,0.01
GPP,PgC y$^{-1}$,84.765,85.158,-0.393
NPP,PgC y$^{-1}$,34.141,34.363,-0.222
NEE,PgC y$^{-1}$,4.056,1.969,2.087
NBP,PgC y$^{-1}$,-4.592,-2.492,-2.100
BTRANMN,unitless,0.57,0.574,-0.004
TOTVEGC,PgC,451.169,417.255,33.914
TOTECOSYSC,gC/m^2,19509.636,19087.331,422.305
TOTSOMC_1m,PgC,1586.668,1569.293,17.375
ALTMAX,m,32.057,32.239,-0.182
FAREA_BURNED,s-1,2.81e-09,2.78e-09,3e-11
DSTFLXT,Pg y$^{-1}$,8.1,7.981,0.119
MEG_isoprene,Tg y$^{-1}$,434.834,421.513,13.321
